NUMERO,NOMBRE,TFG,2FG,3PT,FT,PTS,PTS_PER_MATCH,ORB,ORB_PER_MATCH,DRB,DRB_PER_MATCH,TR,TR_PER_MATCH,PF,PF_PER_MATCH,FD,FD_PER_MATCH,AST,AST_PER_MATCH,_TO,_TO_PER_MATCH,BS,BS_PER_MATCH,ST,ST_PER_MATCH,TIME_PLAYED_IN_SEC,TOTAL_MATCHES
00,Adrian Santiago,0/2,0/1,0/1,2/4,2,2.0,1,1.0,1,1.0,2,2.0,0,0.0,2,2.0,3,3.0,2,2.0,0,0.0,0,0.0,1080,1
0,* Yobed Diaz,1/1,1/1,0/0,0/0,2,2.0,0,0.0,2,2.0,2,2.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,615,1
1,Sebastian Martinez,0/1,0/1,0/0,0/0,0,0.0,0,0.0,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,92,1
6,* Jazhel Torres,2/6,2/3,0/3,0/2,4,4.0,0,0.0,5,5.0,5,5.0,3,3.0,3,3.0,5,5.0,2,2.0,0,0.0,2,2.0,1846,1
12,Armando Benabe,1/3,1/1,0/2,0/0,2,2.0,0,0.0,0,0.0,0,0.0,3,3.0,0,0.0,2,2.0,2,2.0,0,0.0,1,1.0,826,1
14,* Edison Fuentes,3/7,3/6,0/1,1/4,7,7.0,1,1.0,5,5.0,6,6.0,3,3.0,3,3.0,0,0.0,3,3.0,2,2.0,1,1.0,1920,1
19,* Jean Paul Diaz,3/7,3/6,0/1,5/7,11,11.0,0,0.0,0,0.0,0,0.0,4,4.0,4,4.0,3,3.0,1,1.0,1,1.0,1,1.0,1301,1
53,* Luis Yamil Benitez,6/11,3/5,3/6,3/4,18,18.0,0,0.0,1,1.0,1,1.0,2,2.0,4,4.0,3,3.0,4,4.0,0,0.0,0,0.0,1920,1
