Equipo,Juegos Jugados,Anotaciones,Promedio
Guaynabo Adianez,1,9/11,81
Carolina St. Francis,1,21/28,75
Ponce San Conrado,1,15/21,71
Arecibo Colegio San Felipe,2,39/59,66
Mayaguez San Benito,3,61/97,62
Dorado Kingdom Christian Academy,2,35/58,60
Caguas Colegio Bautista,1,12/20,60
Rio Grande Kingdom,1,11/21,52
