Equipo,Juegos Jugados,Anotaciones,Promedio
Guaynabo Adianez,1,11/20,55
Mayaguez San Benito,3,12/30,40
Carolina St. Francis,1,4/13,30
Ponce San Conrado,1,7/26,26
Rio Grande Kingdom,1,3/14,21
Arecibo Colegio San Felipe,2,6/31,19
Dorado Kingdom Christian Academy,2,6/36,16
Caguas Colegio Bautista,1,2/16,12
